symbol,v18_total,rule_total,gap_v18_minus_rule,v18_trades,rule_trades,v18_pf,rule_pf
DGC,178.95,266.56,-87.61000000000001,29,42,3.878861003861004,3.3042876901798066
AAV,252.68,318.49,-65.81,27,36,4.154950680484455,2.911475213059657
AAS,201.91,253.72,-51.81,31,34,3.364839540876084,3.054579318163414
MBB,87.45,124.7,-37.25,33,42,2.4471289094820454,2.312631578947369
VND,277.03000000000003,302.12,-25.089999999999975,37,38,3.3135961249373644,2.935178068152703
BID,21.990000000000002,42.02,-20.03,35,43,1.2433598937583001,1.3721548135683288
TCB,23.13,37.589999999999996,-14.459999999999997,36,47,1.2567432567432566,1.2878695052841167
REE,22.490000000000002,36.61,-14.119999999999997,28,46,1.2830711139081183,1.3406532055457339
FPT,77.76,89.57000000000001,-11.810000000000002,28,38,2.2697583278902678,2.1255340537823577
ACB,35.09,43.42,-8.329999999999998,30,45,1.563423249839435,1.3854074205574296
SSI,227.26,231.76,-4.5,32,41,3.4360595990995817,2.9010745632023625
HPG,183.79,137.06,46.72999999999999,29,43,4.3026055705300985,2.426668054543562
VNM,5.779999999999999,-53.510000000000005,59.290000000000006,23,48,1.1028652785193096,0.5839682786502877
VIC,236.17000000000002,152.53,83.64000000000001,24,42,5.1158940397351,2.5554762390373242
